Date,MktRF,SMB,HML,RMW,CMA,WML,ESGINV_CW,ESGINV_ESG,ESGINV_ESGINV,ESGINV_EW,ESGINV_INV,ESGINV_RW,ESGMOM_CW,ESGMOM_ESG,ESGMOM_ESGMOM,ESGMOM_EW,ESGMOM_MOM,ESGMOM_RW,ESGPROF_CW,ESGPROF_ESG,ESGPROF_ESGPROF,ESGPROF_EW,ESGPROF_PROF,ESGPROF_RW,ESGSIZE_CW,ESGSIZE_ESG,ESGSIZE_ESGSIZE,ESGSIZE_EW,ESGSIZE_RW,ESGSIZE_SIZE,ESGVAL_CW,ESGVAL_ESG,ESGVAL_ESGVAL,ESGVAL_EW,ESGVAL_RW,ESGVAL_VAL,ESG_ESGINV,ESG_ESGMOM,ESG_ESGPROF,ESG_ESGSIZE,ESG_ESGVAL,ESG_INV,ESG_MOM,ESG_PROF,ESG_SIZE,ESG_VAL,INV_CW,INV_ESG,INV_ESGINV,INV_EW,INV_INV,INV_RW,MOM_CW,MOM_ESG,MOM_ESGMOM,MOM_EW,MOM_MOM,MOM_RW,PROF_CW,PROF_ESG,PROF_ESGPROF,PROF_EW,PROF_PROF,PROF_RW,SIZE_CW,SIZE_ESG,SIZE_ESGSIZE,SIZE_EW,SIZE_RW,SIZE_SIZE,VAL_CW,VAL_ESG,VAL_ESGVAL,VAL_EW,VAL_RW,VAL_VAL
Return Jan05,-0.0125,0.0372,0.0157,0.0015,-0.0055,0.0087,0.03080665,0.037438658,0.0365094,0.035662585,0.035798141,0.033251093,0.031218272,0.036821437,0.04050507,0.041492085,0.04325003,0.037410619,0.01839765,0.020237981,0.023231898,0.025201557,0.025963387,0.023467053,0.076115157,0.070175387,0.062269618,0.062319873,0.057514499,0.058651909,0.03155972,0.03773821,0.040478085,0.04201085,0.032362229,0.042428138,0.034331716,0.031207611,0.026912072,0.034615262,0.031121868,0.036352254,0.028054588,0.012287639,0.04605379,0.028210507,0.045210849,0.043963524,0.046795129,0.048157692,0.048160936,0.04862372,0.026817065,0.037792108,0.040706184,0.040247243,0.041911018,0.036987455,0.018569131,0.018160089,0.023814551,0.02618418,0.026889244,0.024271205,0.065309079,0.065758653,0.063331971,0.06391291,0.060969924,0.062540229,0.028668315,0.034798963,0.040777887,0.043969825,0.036620249,0.043634476
Return Feb05,0.0459,0.0095,0.0104,0.0033,0.0034,0.0158,0.024020509,0.020331727,0.019682633,0.017919247,0.019185936,0.014923589,0.023344009,0.025466431,0.028780751,0.029681126,0.031251303,0.02477063,0.022050749,0.024248925,0.025437429,0.027313465,0.02652363,0.024797471,0.055787917,0.035590295,0.031849132,0.031078743,0.028875959,0.030142357,0.037907286,0.040464011,0.040385895,0.041935814,0.036332794,0.040330163,0.021429729,0.018602996,0.018357855,0.020563925,0.023683816,0.021485703,0.013640437,0.011084939,0.014702547,0.027250388,0.040103258,0.032525649,0.031333352,0.031872561,0.030756536,0.030930846,0.025968542,0.031319022,0.032524411,0.031787564,0.033023385,0.027998093,0.019684518,0.018165203,0.022333197,0.025157228,0.0246022,0.019765108,0.023604187,0.026544762,0.02710829,0.0254775,0.023144074,0.027291785,0.031465954,0.035551127,0.039927276,0.041706918,0.035090603,0.042020572
Return Mar05,-0.0257,-0.0012,0.0024,0.0023,0.0017,0.0031,-0.002624388,-0.003583524,-0.002476986,-0.001954548,-0.001631557,-0.002482926,-0.012059191,-0.011807171,-0.01029153,-0.010064479,-0.009159971,-0.010834496,-0.001107196,-0.009207026,-0.015787826,-0.013062826,-0.021847185,-0.01105155,-0.028659381,-0.01224437,-0.008185477,-0.009658932,-0.012372253,-0.006344226,-0.002619314,-0.001249784,-0.001186921,-0.000997457,-0.004601561,-0.001142076,-0.000786533,-0.001883926,-0.004586859,0.000905502,-0.001517836,-0.00177155,-0.004999097,-0.015293615,0.008179464,-0.00368759,-0.001405765,-0.003094721,0.000169599,0.001891375,0.00174362,0.001818355,-0.003275535,-0.00657471,-0.002917104,-0.001574981,-0.001405649,-0.002639786,-0.006923975,-0.024319399,-0.023000633,-0.021437883,-0.022281133,-0.018355374,0.001095355,-0.003813299,-0.000764925,0.000585183,-0.001743072,0.000226051,0.000264822,-0.000771147,-0.001540961,-0.001752104,-0.004979512,-0.001910598
Return Apr05,-0.0259,0.0053,-0.0011,-0.003,0.006,0.0087,-0.03891116,-0.041322712,-0.045534933,-0.045539934,-0.048768359,-0.034630648,-0.016408029,-0.021756599,-0.021485464,-0.022170985,-0.021282818,-0.016602458,-0.027484697,-0.023752717,-0.018531557,-0.021866467,-0.013778158,-0.01718975,-0.048711054,-0.036611813,-0.029738715,-0.032274422,-0.028255297,-0.026627204,-0.045302957,-0.040588557,-0.038724439,-0.038985727,-0.030617287,-0.037396696,-0.031072173,-0.026743457,-0.024192516,-0.032041669,-0.032654421,-0.029923683,-0.01777724,-0.006193865,-0.033474907,-0.033929346,-0.041050792,-0.043628658,-0.050217146,-0.050679194,-0.053417367,-0.039587365,-0.012304681,-0.016725025,-0.017399223,-0.017267842,-0.01767868,-0.013710118,-0.014216945,-0.015071468,-0.014427037,-0.01913919,-0.014075261,-0.011547179,-0.03477796,-0.028348233,-0.028273146,-0.031560042,-0.027009763,-0.028248688,-0.04212102,-0.040004696,-0.039028503,-0.04014227,-0.032377614,-0.038560375
Return May05,-0.0003,-0.0149,0.0118,-0.0053,0.0033,0.0162,0.055671806,0.061424974,0.057760229,0.058262493,0.054948424,0.055278168,0.053014324,0.056190367,0.054625162,0.055367799,0.053453449,0.056613613,0.056558347,0.059017925,0.061279373,0.060283651,0.063344041,0.060576127,0.063182626,0.069121822,0.059527083,0.059646971,0.058219513,0.055131072,0.070333101,0.072647645,0.069923773,0.06872413,0.06859938,0.067976016,0.058892335,0.056433525,0.058176821,0.059643851,0.062904397,0.05984117,0.053189751,0.057980201,0.069352757,0.07011289,0.058503808,0.058578458,0.061154127,0.063515686,0.06239672,0.063364015,0.044774325,0.050625177,0.050960182,0.051881095,0.051098944,0.055124989,0.061857519,0.0659119,0.065767501,0.066210392,0.06568863,0.067657218,0.061697523,0.06268342,0.058367961,0.059368375,0.058933932,0.05695821,0.071425944,0.0750123,0.071271968,0.072000225,0.074325498,0.069472035
Return Jun05,0.0153,0.0106,0.0164,0.0073,-0.0009,0.0327,0.042180437,0.037911311,0.036931009,0.037458835,0.036180648,0.033029227,0.029997643,0.029096054,0.033159359,0.032650083,0.036186241,0.0316246,0.029675381,0.031932389,0.033507345,0.035560485,0.0349462,0.030670631,0.058606669,0.051324268,0.050489545,0.051448223,0.048599577,0.050109537,0.030031429,0.032552367,0.034233916,0.03536812,0.031105726,0.035431809,0.033724974,0.03220206,0.030392113,0.032393338,0.032065248,0.033865322,0.02966398,0.022625819,0.023619759,0.029615472,0.049017621,0.039311772,0.042097108,0.042335145,0.043440643,0.040942487,0.046535438,0.041632524,0.043947502,0.043733276,0.044905042,0.043833561,0.032541553,0.031797067,0.037097047,0.041695013,0.039979771,0.037115165,0.049377922,0.045571284,0.049038838,0.049729151,0.048269202,0.050165769,0.032030312,0.031173942,0.034124102,0.035575261,0.031836689,0.035536774
Return Jul05,0.0382,0.0055,0.0134,-0.0017,-0.005,0.0114,0.02825584,0.023129078,0.027171199,0.026927598,0.030251532,0.020509149,0.023285702,0.028426788,0.034738794,0.035474211,0.039431613,0.027976703,0.037920549,0.028088736,0.032861873,0.035978366,0.037209242,0.028076189,0.05729669,0.039816895,0.046325695,0.04609182,0.043296558,0.049273063,0.03595871,0.035487065,0.03424428,0.035759553,0.029092319,0.033356731,0.022140744,0.019576,0.018079535,0.021811589,0.023941989,0.021705664,0.014496844,0.007627673,0.017435239,0.026296664,0.027846951,0.035945755,0.037140728,0.038133036,0.037717815,0.030894347,0.02851761,0.041588147,0.047051058,0.047564628,0.049305657,0.042823667,0.019793442,0.01867131,0.026440911,0.027780975,0.030658865,0.021657807,0.054811473,0.047647333,0.053953507,0.055286671,0.052486463,0.055999126,0.029241183,0.02814295,0.035186796,0.03861773,0.031989531,0.038549539
Return Aug05,0.0202,0.0214,-0.0011,0.0017,0.0058,0.0268,0.007226564,0.007161881,0.007276655,0.007190244,0.007364422,0.009800947,0.015081193,0.019704598,0.024178492,0.023409034,0.027510044,0.023332856,0.006086658,0.01102341,0.019655477,0.018475371,0.027488739,0.019386489,0.032918485,0.030348635,0.037147011,0.035727133,0.031994398,0.040224862,0.007389075,0.009988618,0.012008548,0.012977814,0.013998043,0.013447078,0.005819013,0.005938184,0.005253299,0.003265879,0.002445272,0.009957736,0.011035671,0.010486611,0.004784714,0.001500065,0.012430559,0.013237811,0.012378042,0.012640623,0.011962202,0.013649958,0.020381552,0.024180158,0.024496114,0.02250301,0.024626988,0.021969943,0.019826519,0.020536957,0.023967269,0.021977344,0.02583575,0.019969676,0.028366272,0.037138414,0.036492271,0.032460136,0.026551406,0.036281706,0.011760537,0.013440626,0.015747221,0.017018773,0.015938595,0.01685225
Return Sep05,0.0148,-0.0016,0.0012,0.0052,-0.0103,0.0293,0.039245182,0.042888425,0.037181781,0.03608981,0.032795389,0.032050819,0.046280876,0.040940445,0.03492602,0.035307477,0.030406029,0.035682965,0.044478806,0.038996608,0.039996461,0.040002762,0.040910415,0.037941405,0.098731277,0.063183502,0.05549389,0.055921169,0.055797358,0.051975651,0.051078784,0.049108284,0.043053815,0.042476679,0.036986972,0.038712037,0.041421255,0.038873157,0.040159941,0.043000996,0.041762581,0.040343768,0.033059248,0.03542538,0.049058499,0.041174772,0.025462502,0.032422675,0.027343956,0.024621318,0.024879844,0.025084177,0.033090158,0.034893525,0.03861984,0.040991369,0.040159613,0.039869018,0.030395173,0.032248992,0.036920735,0.036647616,0.039462985,0.035414842,0.04732471,0.046429757,0.049857336,0.049003973,0.049560583,0.050971306,0.035055382,0.032327915,0.033274809,0.033328833,0.030745044,0.033728897
Return Oct05,-0.0341,-0.0114,0.0041,-0.0105,0.0112,-0.0175,-0.036618914,-0.033137365,-0.035199659,-0.03435214,-0.03677973,-0.03608367,-0.046837033,-0.043730853,-0.045677271,-0.045483165,-0.047134846,-0.045932159,-0.038086473,-0.038503332,-0.0407209,-0.038600206,-0.042754207,-0.039145024,-0.037587474,-0.032163076,-0.029981653,-0.029280247,-0.031365952,-0.028990736,-0.031811248,-0.030774387,-0.030308923,-0.029592396,-0.032590163,-0.029976993,-0.029737859,-0.031404011,-0.031953552,-0.028302634,-0.028605545,-0.032721125,-0.037905546,-0.0420388,-0.032180237,-0.029936426,-0.049962375,-0.04016042,-0.037838913,-0.036473126,-0.036718725,-0.038078378,-0.042035947,-0.045038355,-0.043527472,-0.041895253,-0.042902172,-0.042455285,-0.047561006,-0.046233416,-0.044625578,-0.042800991,-0.04374856,-0.044389413,-0.03235149,-0.034856189,-0.03129998,-0.031241005,-0.031836862,-0.030144304,-0.035277854,-0.032945635,-0.029096633,-0.027324434,-0.029806158,-0.027254777
