Date,Rm
Return Jan18,0.016007678
Return Feb18,-0.040852514
Return Mar18,-0.023345524
Return Apr18,0.038222593
Return May18,-0.005882546
Return Jun18,-0.008204623
Return Jul18,0.030279401
Return Aug18,-0.024165377
Return Sep18,0.002403803
Return Oct18,-0.057938593
Return Nov18,-0.01145888
Return Dec18,-0.057097523
Return Jan19,0.060392944
Return Feb19,0.038639269
Return Mar19,0.016731583
Return Apr19,0.031828682
Return May19,-0.058643089
Return Jun19,0.041946375
Return Jul19,0.002335706
Return Aug19,-0.016439385
Return Sep19,0.03538928
Return Oct19,0.009115156
Return Nov19,0.026562762
Return Dec19,0.02043144
