Date,Rf
Return Jan07,0.003025834
Return Feb07,0.00309022
Return Mar07,0.003155848
Return Apr07,0.003229779
Return May07,0.003311179
Return Jun07,0.003351876
Return Jul07,0.003415411
Return Aug07,0.003339418
Return Sep07,0.003317408
Return Oct07,0.003324717
Return Nov07,0.003275878
Return Dec07,0.003292075
Return Jan08,0.003236424
Return Feb08,0.003215159
Return Mar08,0.003255944
Return Apr08,0.00328543
Return May08,0.003324053
Return Jun08,0.003500948
Return Jul08,0.003540392
Return Aug08,0.003526275
Return Sep08,0.003339418
Return Oct08,0.002343918
Return Nov08,0.001759285
Return Dec08,0.001373223
Return Jan09,0.000929984
Return Feb09,0.000649789
Return Mar09,0.000500708
Return Apr09,0.000529027
Return May09,0.000584829
Return Jun09,0.000425743
Return Jul09,0.000298289
Return Aug09,0.000266631
Return Sep09,0.000268297
Return Oct09,0.000310785
Return Nov09,0.000284126
Return Dec09,0.000248719
Return Jan10,0.000233723
Return Feb10,0.000233723
Return Mar10,0.000239138
Return Apr10,0.000294123
Return May10,0.000259966
Return Jun10,0.000339109
Return Jul10,0.000384509
Return Aug10,0.000339109
Return Sep10,0.000517366
Return Oct10,0.000613145
Return Nov10,0.000514035
Return Dec10,0.000429491
Return Jan11,0.000654786
Return Feb11,0.000635631
Return Mar11,0.000782194
Return Apr11,0.000947884
Return May11,0.000890437
Return Jun11,0.001049449
Return Jul11,0.000968697
Return Aug11,0.000679769
Return Sep11,0.00054735
Return Oct11,0.000577333
Return Nov11,0.000337027
Return Dec11,0.000254967
Return Jan12,0.000229974
Return Feb12,0.000217893
Return Mar12,0.000229557
Return Apr12,0.000189565
Return May12,0.000155821
Return Jun12,0.000128325
Return Jul12,-2.4167E-05
Return Aug12,-1.37501E-05
Return Sep12,4.16667E-07
Return Oct12,2.91666E-06
Return Nov12,-1.75002E-05
Return Dec12,-1.50001E-05
Return Jan13,4.54156E-05
Return Feb13,-7.08336E-06
Return Mar13,-2.5E-06
Return Apr13,-1.16667E-05
Return May13,-1.33334E-05
Return Jun13,2.08331E-05
Return Jul13,1.79165E-05
Return Aug13,1.08333E-05
Return Sep13,1.66665E-05
Return Oct13,2.41664E-05
Return Nov13,3.37494E-05
Return Dec13,6.08315E-05
Return Jan14,4.20824E-05
Return Feb14,4.4499E-05
Return Mar14,6.52479E-05
Return Apr14,6.99976E-05
Return May14,1.83332E-05
Return Jun14,-2.4167E-05
Return Jul14,-1.50001E-05
Return Aug14,-6.70856E-05
Return Sep14,-0.000101255
Return Oct14,-7.91698E-05
Return Nov14,-7.25026E-05
Return Dec14,-9.25043E-05
Return Jan15,-0.000105839
Return Feb15,-0.000128175
Return Mar15,-0.000150011
Return Apr15,-0.000159179
Return May15,-0.000175015
Return Jun15,-0.000171265
Return Jul15,-0.000172515
Return Aug15,-0.00018085
Return Sep15,-0.000190852
Return Oct15,-0.000227526
Return Nov15,-0.000298378
Return Dec15,-0.000266702
Return Jan16,-0.000320051
Return Feb16,-0.000370068
Return Mar16,-0.000359231
Return Apr16,-0.000358398
Return May16,-0.00035673
Return Jun16,-0.000368401
Return Jul16,-0.000366067
Return Aug16,-0.000363399
Return Sep16,-0.000362566
Return Oct16,-0.000362566
Return Nov16,-0.000362566
Return Dec16,-0.000360065
Return Jan17,-0.000364233
Return Feb17,-0.000365067
Return Mar17,-0.000363399
Return Apr17,-0.000369652
Return May17,-0.000371736
Return Jun17,-0.000369235
Return Jul17,-0.000370068
Return Aug17,-0.000369235
Return Sep17,-0.000367401
Return Oct17,-0.000367568
Return Nov17,-0.000361732
Return Dec17,-0.000357981
